id,category,category_en,name,name_en,condition,purchase_date,qty,price_aud_jan,price_aud_feb,price_aud_mar,market_value,status,proof_url,bought_url,description,description_en,issue_number,notes
appliances-50hz-step-down-transformer,家電,Appliances,50Hz ダウンステップ（1000W）,50Hz Step-Down Transformer (1000W),通常使用,2024-04-24,1,,,30,80,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07KQZXWKY,日本の50Hz電化製品をオーストラリアで使用するためのダウンステップ変圧器（1000W対応）。,Step-down transformer for using Japanese 50Hz appliances in Australia (1000W capacity).,1,
appliances-coffee-maker,家電,Appliances,コーヒーメーカー（Panasonic NC-A57-K）セット,Coffee Maker (Panasonic NC-A57-K) Set,1台水回り不具合あり・付属品2台分,"2024-04-30, 2024-04-06",1,180,160,140,300,available,https://www.amazon.co.jp/-/en/gp/your-account/order-history,https://www.amazon.co.jp/-/en/dp/B07DTDHP7Q,Panasonic全自動コーヒーメーカー。1台は正常動作、1台は水回りに不具合あり。付属品は2台分すべて揃っています。,"Panasonic fully automatic coffee maker. One works normally, one has water system issues. All accessories for both included.",2,正常: $80–130 / 故障: $20–50
appliances-water-filter-pitcher,家電,Appliances,浄水器（BRITA Marella XL 3.5L）,Water Filter Pitcher (BRITA Marella XL 3.5L),通常使用,2024-04-27,1,20,15,10,40,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07F9Q8CZZ,BRITA浄水ポット Marella XL（3.5L容量）。,BRITA Marella XL water filter pitcher (3.5L capacity).,3,
appliances-heat-pump-dryer,家電,Appliances,ヒートポンプ式乾燥機（Haier）,Heat Pump Dryer (Haier),通常使用,不明,1,,,480,800,available,別サイト購入,,Haierヒートポンプ式乾燥機。電気代効率が良く、衣類に優しい乾燥方式。,Haier heat pump dryer. Energy efficient and gentle on clothes.,4,
furniture-electric-standing-desk,家具,Furniture,電動昇降デスク（ERGOMAKER 140×60cm）,Electric Standing Desk (ERGOMAKER 140x60cm),前後にややガタつき,2025-04-30,1,,,160,400,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0CX53QXY8,ERGOMAKER電動昇降デスク（140×60cm）。立ち作業・座り作業を切り替え可能。,ERGOMAKER electric standing desk (140x60cm). Switch between sitting and standing positions.,5,
appliances-printer,家電,Appliances,プリンター（Canon PIXMA TS5160）+ 新品インク,Printer (Canon PIXMA TS5160) + New Ink,通常使用,2024-08-08,1,,,80,100,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B077G2WXF9,Canon PIXMAインクジェットプリンター。スキャン・コピー機能付き。,Canon PIXMA inkjet printer. Includes scan and copy functions.,6,
appliances-microwave,家電,Appliances,電子レンジ（Panasonic 20L 800W）,Microwave (Panasonic 20L 800W),通常使用,2024-10-18,1,,80,60,120,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0DBPCNVY5,Panasonic電子レンジ（20L、800W）。シンプルで使いやすい。,"Panasonic microwave (20L, 800W). Simple and easy to use.",7,
kitchen-dish-drying-rack,キッチン,Kitchen,食器乾燥ラック（BRIAN & DANY）,Dish Drying Rack (BRIAN & DANY),通常使用,2024年複数回,4,18,14,10,38.99,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07NBDQMVZ,BRIAN & DANY食器乾燥ラック。コンパクトで使いやすい。,BRIAN & DANY dish drying rack. Compact and practical.,8,各$5–12（4つで$15–40）
kitchen-compactor-trash-can,キッチン,Kitchen,圧縮ゴミ箱（Joseph Joseph Titan 30L）,Compactor Trash Can (Joseph Joseph Titan 30L),通常使用,2024-09-06,1,180,160,140,359.0,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B071D6F3XF,Joseph Joseph Titan圧縮ゴミ箱（30L）。ゴミを圧縮して容量を最大化。,Joseph Joseph Titan compacting trash can (30L). Compresses waste to maximize capacity.,9,
pc-accessories-aeron-chair,PC周辺,PC Accessories,アーロンチェア（Sサイズ）,Aeron Chair (Size S),通常使用,不明,1,,,1600,1800,available,別サイト購入,,Herman Miller アーロンチェア（Sサイズ）。高品質オフィスチェアの定番。,Herman Miller Aeron Chair (Size S). Premium ergonomic office chair.,10,
